Country	Capital	Population
Tokelau	Nukunonu	1
Timor Leste	Dili	1267
Turkmenistan	Ashgabat	5850
Tunisia	Tunis	11565
Tonga	Nuku'alofa	103
Turkey	Ankara	82319
Trinidad and Tobago	Port of Spain	1389
Tuvalu	Funafuti	11
Taiwan	Taipei	22894
Tanzania	Dodoma	56318
Ukraine	Kyiv	44622
Uganda	Kampala	42723
United States	Washington	327167
Uruguay	Montevideo	3449
Uzbekistan	Tashkent	32955
Vatican	Vatican City	1
Saint Vincent and the Grenadines	Kingstown	110
Venezuela	Caracas	28870
British Virgin Islands	Road Town	29
U.S. Virgin Islands	Charlotte Amalie	06
Vietnam	Hanoi	95540
Vanuatu	Port Vila	292
Wallis and Futuna	Mata Utu	16
Samoa	Apia	196
Yemen	Sanaa	28498
Mayotte	Mamoudzou	159
South Africa	Pretoria	57779
Zambia	Lusaka	17351
Zimbabwe	Harare	14439
Serbia and Montenegro	Belgrade	10829
Netherlands Antilles	Willemstad	300
